"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA14896","N_Can",-35.0849090711782,149.288042353485,"2009","F","",NA,NA,"Tympanocryptis lineata"
"AA14951","S_Can",-35.502443281052,149.166209326624,"2010","M","SA",46.1,2.97,"Tympanocryptis lineata"
"AA61574","N_Can",-35.0904525151011,149.312326102869,"2014","M","A",62,5.38,"Tympanocryptis lineata"
"AA61576","W_Can",-35.4522260126031,149.01654523369,"2014","M","A",54.2,6.05,"Tympanocryptis lineata"
"AA14393","N_Can",-35.0793148248387,149.306415818512,"2006",NA,"J",36.2,2.52,"Tympanocryptis lineata"
"AA61585","E_Can",-35.4528416180725,149.231669498949,"2013","UK","J",23.3,2.3,"Tympanocryptis lineata"
"AA61593","E_Can",-35.4369543890857,149.229752045597,"2013","M","A",66.4,5.29,"Tympanocryptis lineata"
"AA67096","E_Can",-35.4359199111145,149.247065062527,"2015","U","J",27.9,2.93,"Tympanocryptis lineata"
"AA14816","S_Can",-35.4907444670795,149.169798990693,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA14873","S_Can",-35.5122879723966,149.191229920656,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA14881","S_Can",-35.4864381001406,149.17908021424,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA14939","N_Can",-35.0950928391331,149.286779442788,"2010","F","A",84.3,5.13,"Tympanocryptis lineata"
"AA14981","S_Can",-35.4946609113242,149.180435684583,"2009","F","",NA,NA,"Tympanocryptis lineata"
"AA15258","E_Can",-35.441960051179,149.235385628247,"2013","M","SA",41.6,3.89,"Tympanocryptis lineata"
"AA14409","N_Can",-35.089348054617,149.296615499934,"2006",NA,"J",33.3,3.7,"Tympanocryptis lineata"
"AA61586","E_Can",-35.4264317417269,149.232230293668,"2013","UK","SA",43.3,3.83,"Tympanocryptis lineata"
"AA61594","E_Can",-35.43865483602,149.230525135126,"2013","UK","SA",40.9,3.89,"Tympanocryptis lineata"
"AA67097","E_Can",-35.4389070710699,149.232366238856,"2015","U","J",29.9,2.82,"Tympanocryptis lineata"
"AA14819","S_Can",-35.4911270440418,149.166989376826,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA14874","S_Can",-35.5099293378207,149.177147773528,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA14882","N_Can",-35.092941196697,149.282076186192,"2007","U",NA,NA,NA,"Tympanocryptis lineata"
"AA14947","N_Can",-35.0774452573115,149.295603413713,"2010","M","SA",47.6,4.02,"Tympanocryptis lineata"
"AA14982","S_Can",-35.4825407840988,149.187227660492,"2009","J","",NA,NA,"Tympanocryptis lineata"
"AA14537","N_Can",-35.0826737430312,149.276791620916,"2006","M","SA",38.2,4.21,"Tympanocryptis lineata"
"AA61587","E_Can",-35.4454294892611,149.221969749871,"2013","UK","J",31.3,2.9,"Tympanocryptis lineata"
